faulknercounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
crittenden.ark.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
bentoncountyar.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
salinecounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
garlandcounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
yellcounty.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
hempstead;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
popecountyar.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
baxtercounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
little river county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
sevier;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
boonecountyar.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
stfranciscountyar.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
izardcountyar.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
crosscountyar.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
whitecountyar.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
conwaycountyar.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
ouachita county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
jackson county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
jeffersoncountyar.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
searcy county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
polk county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
sebastiancountyar.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
millercountyar.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
hotspringcounty.arkansas.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
ashley county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
van buren;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
mississippicountyar.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
clarkcountyarkansas.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
leecounty.arkansas.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
lincolncounty.arkansas.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
lawrencecountyarkansas.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
sharpcounty.arkansas.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
co.carroll.ar.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
marioncounty.arkansas.gov;TLS 1.3;certificate; not expired;;certificate;self-signed;Country Code; Unknown;domain; .gov;
bradley county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
phillipscounty.arkansas.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
