number,State,population,population category,State2,score final,Website,TLS Level,Certificate Expiry,Certificate Signed,Country Code,Domain,cert_type,Country Code2,SWEET 32,Certificate Issuer,HTTP Check,HEARTBLEED,HSTS_CHECK,PORT 80,POODLE,DROWN,FREAK,County_site,Number of Open Ports,protocol1,protocol2,protocol3,protocol4,protocol5,protocol6,protocol7
1,AK,293531,"250,000 to 499,999",AK,12,anchorage.net,TLS 1.2, not expired, not self-signed, US, .net, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,anchorage.net,0,,,,,,,
2,AK,875,"1 to 75,000",AK,8,bristolbayboroughak.us,No TLS, not expired, not self-signed, Unknown, .us, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,bristolbayboroughak.us,1,,,,,,,
3,AK,3257,"1 to 75,000",AK,12,ci.petersburg.ak.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,Unknown,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,ci.petersburg.ak.us,0,,,,,,,
4,AK,99072,"75,001 to 149,999",AK,12,co.fairbanks.ak.us,TLS 1.2, not expired, not self-signed, US, .us, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.fairbanks.ak.us,0,,,,,,,
5,AK,2246,"1 to 75,000",AK,11,denaliborough.org,TLS 1.2, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, R3,Unknown,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,denaliborough.org,0,,,,,,,
6,AK,2518,"1 to 75,000",AK,15,hainesalaska.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,hainesalaska.gov,0,,,,,,,
7,AK,32227,"1 to 75,000",AK,13,juneau.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,juneau.org,1,ssh,,,,,,
8,AK,13451,"1 to 75,000",AK,13,kodiakak.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,kodiakak.us,1,ftp,,,,,,
9,AK,58464,"1 to 75,000",AK,14,kpb.us,TLS 1.3, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,kpb.us,1,ftp,,,,,,
10,AK,1393,"1 to 75,000",AK,10,lakeandpen.com,TLS 1.2, expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, Trusted Secure Certificate Authority 5,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lakeandpen.com,0,,,,,,,
11,AK,105369,"75,001 to 149,999",AK,15,matsugov.us,TLS 1.3, not expired, not self-signed, US, .us, EV, US, NOT VULNERABLE, Entrust Certification Authority - L1K,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,Strict Transport Security Found,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,matsugov.us,0,,,,,,,
12,AK,9988,"1 to 75,000",AK,9,nomealaska.org,TLS 1.2, not expired,self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,nomealaska.org,0,,,,,,,
13,AK,9792,"1 to 75,000",AK,10,north-slope.org,TLS 1.2, not expired, not self-signed, US, .org, EV, US,VULNERABLE, DigiCert TLS RSA SHA256 2020 CA1,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,north-slope.org,2,ftp,ssh,,,,,
14,AK,7715,"1 to 75,000",AK,13,nwabor.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,nwabor.org,1,ssh,,,,,,
15,AK,1107,"1 to 75,000",AK,13,skagway.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,skagway.com,10,ftp,ssh,dns,,,,
16,AK,0,STATE,AK,12,alaska.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US,VULNERABLE, GlobalSign Organization Validation CA - SHA256 - G2,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,alaska.gov,0,,,,,,,
17,AL,55380,"1 to 75,000",AL,12,autaugaco.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,autaugaco.org,8,ssh,smtp,,,,,
18,AL,212830,"150,000 to 249,999",AL,12,baldwincountyal.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US,VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 302 Redirect,NOT VULNERABLE,No HSTS,Open,VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,baldwincountyal.gov,0,,,,,,,
19,AL,22493,"1 to 75,000",AL,14,bibbal.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,bibbal.com,10,ftp,ssh,dns,,,,
20,AL,57681,"1 to 75,000",AL,13,blountcountyal.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, US,VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,blountcountyal.gov,5,ftp,ssh,,,,,
21,AL,19828,"1 to 75,000",AL,12,butleralabama.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,butleralabama.org,0,,,,,,,
22,AL,114618,"75,001 to 149,999",AL,11,calhouncounty.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US,VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,calhouncounty.org,0,,,,,,,
23,AL,33660,"1 to 75,000",AL,13,chamberscountyal.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, US,VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,chamberscountyal.gov,5,ftp,ssh,,,,,
24,AL,44055,"75,001 to 149,999",AL,12,chiltoncounty.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,chiltoncounty.org,7,dns,,,,,,
25,AL,24128,"1 to 75,000",AL,13,clarkecountyal.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,clarkecountyal.com,10,ftp,dns,,,,,
26,AL,13337,"1 to 75,000",AL,13,alabamaclaycounty.com,TLS 1.3, not expired, not self-signed, US, .com, EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,alabamaclaycounty.com,11,ftp,ssh,dns,,,,
27,AL,51662,"1 to 75,000",AL,11,www.coffeecounty.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,www.coffeecounty.us,0,,,,,,,
28,AL,49277,"1 to 75,000",AL,10,dalecountyal.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, US,VULNERABLE, R3,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,dalecountyal.com,11,ftp,dns,,,,,
29,AL,26417,"1 to 75,000",AL,15,genevacountyal.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,genevacountyal.gov,11,ftp,smtp,dns,,,,
30,AL,14809,"1 to 75,000",AL,11,halecountyal.com,TLS 1.3, not expired, not self-signed, BE, .com, EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,halecountyal.com,1,ftp,,,,,,
31,AL,13885,"1 to 75,000",AL,14,lamarcounty.us,TLS 1.3, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lamarcounty.us,11,ftp,dns,,,,,
32,AL,33058,"1 to 75,000",AL,6,lawrencecountyal.org,No TLS, not expired, not self-signed,GB, .org, non-EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lawrencecountyal.org,2,ftp,ssh,,,,,
33,AL,9293,"1 to 75,000",AL,8,perrycountyal.org,unknown, not expired, not self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,perrycountyal.org,0,,,,,,,
34,AL,22647,"1 to 75,000",AL,11,randolphcountyalabama.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,randolphcountyalabama.gov,2,ftp,,,,,,
35,AL,57952,"1 to 75,000",AL,14,rcala.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,rcala.com,10,ftp,ssh,dns,,,,
36,AL,64110,"1 to 75,000",AL,10,walkercountyal.us,No TLS, not expired, not self-signed,US, .us, non-EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,walkercountyal.us,1,,,,,,,
37,AL,16541,"1 to 75,000",AL,9,washingtoncountyalgov.com,unknown, not expired, not self-signed, Unknown, .com, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,washingtoncountyalgov.com,11,ftp,ssh,,,,,
38,AL,14916,"1 to 75,000",AL,12,cleburnecounty.us,TLS 1.3, not expired, not self-signed, US, .us, non-EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,cleburnecounty.us,0,,,,,,,
39,AL,82853,"75,001 to 149,999",AL,10,co.cullman.al.us,TLS 1.2, not expired, not self-signed, BE, .us, EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.cullman.al.us,11,ftp,ssh,dns,,,,
40,AL,37057,"1 to 75,000",AL,14,co.escambia.al.us,TLS 1.2, not expired, not self-signed, US, .us, EV, US, NOT VULNERABLE, Starfield Secure Certificate Authority - G2,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.escambia.al.us,9,ftp,ssh,,,,,
41,AL,119213,"75,001 to 149,999",AL,10,co.morgan.al.us,TLS 1.2, not expired, not self-signed, BE, .us, EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.morgan.al.us,11,ftp,ssh,dns,,,,
42,AL,54771,"1 to 75,000",AL,12,colbertcounty.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,colbertcounty.org,11,ftp,ssh,dns,,,,
43,AL,10757,"1 to 75,000",AL,10,coosacountyal.com,TLS 1.3, expired, not self-signed, BE, .com, non-EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,coosacountyal.com,2,ftp,ssh,,,,,
44,AL,37200,"1 to 75,000",AL,10,covcounty.com,TLS 1.3, expired, not self-signed, BE, .com, non-EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,covcounty.com,1,ftp,,,,,,
45,AL,13844,"1 to 75,000",AL,11,crenshawcountyalonline.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US,VULNERABLE, Amazon,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,crenshawcountyalonline.com,0,,,,,,,
46,AL,82853,"75,001 to 149,999",AL,15,cullmanal.gov,TLS 1.3, not expired, not self-signed, US, .gov, EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,cullmanal.gov,1,ssh,,,,,,
47,AL,39149,"1 to 75,000",AL,8,dallascounty-al.org,unknown, not expired, not self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,dallascounty-al.org,0,,,,,,,
48,AL,71310,"1 to 75,000",AL,14,dekalbcountyal.us,TLS 1.3, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,dekalbcountyal.us,8,ftp,dns,,,,,
49,AL,81144,"75,001 to 149,999",AL,12,elmoreco.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,elmoreco.org,1,,,,,,,
50,AL,102748,"75,001 to 149,999",AL,13,etowahcounty.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,etowahcounty.org,1,ssh,,,,,,
51,AL,16494,"1 to 75,000",AL,12,fayetteal.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,fayetteal.org,10,ftp,ssh,,,,,
52,AL,31466,"1 to 75,000",AL,14,franklincountyal.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,franklincountyal.org,12,ftp,ssh,dns,,,,
53,AL,17133,"1 to 75,000",AL,12,henrycountyal.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,henrycountyal.com,11,ftp,smtp,dns,,,,
54,AL,104702,"75,001 to 149,999",AL,12,houstoncounty.org,TLS 1.2, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, Encryption Everywhere DV TLS CA - G1,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,houstoncounty.org,1,,,,,,,
55,AL,51852,"1 to 75,000",AL,13,jacksoncountyal.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,jacksoncountyal.gov,0,,,,,,,
56,AL,659680,"500,000 to 999,999",AL,13,jccal.org,TLS 1.3, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,jccal.org,265,ftp,ssh,smtp,dns,smb,rdp,sql
57,AL,92556,"75,001 to 149,999",AL,15,lauderdalecountyal.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lauderdalecountyal.gov,7,ftp,,,,,,
58,AL,161152,"150,000 to 249,999",AL,9,leeco.us,TLS 1.2, not expired, not self-signed, Unknown, .us, non-EV, Unknown,VULNERABLE, Amazon EC2,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,leeco.us,0,,,,,,,
59,AL,94727,"75,001 to 149,999",AL,12,limestonecounty-al.gov,TLS 1.3, not expired, not self-signed, BE, .gov, EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,limestonecounty-al.gov,1,ftp,,,,,,
60,AL,10079,"1 to 75,000",AL,7,lowndescountycommission-al.com,No TLS, not expired, not self-signed, Unknown, .com, non-EV, Unknown, NOT VULNERABLE, not found,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lowndescountycommission-al.com,2,ftp,ssh,,,,,
61,AL,18708,"1 to 75,000",AL,12,maconcountyal.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,maconcountyal.com,3,ftp,ssh,,,,,
62,AL,362276,"250,000 to 499,999",AL,13,madisoncountyal.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, US,VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,madisoncountyal.gov,0,,,,,,,
63,AL,19321,"1 to 75,000",AL,14,marengocountyal.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,marengocountyal.com,12,ftp,ssh,dns,,,,
64,AL,95643,"75,001 to 149,999",AL,12,marshallco.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,marshallco.org,11,ftp,ssh,dns,,,,
65,AL,226941,"150,000 to 249,999",AL,8,mc-ala.org,No TLS, not expired, not self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,mc-ala.org,0,,,,,,,
66,AL,414114,"250,000 to 499,999",AL,13,mobilecountyal.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,mobilecountyal.gov,10,ftp,ssh,,,,,
67,AL,21270,"1 to 75,000",AL,11,monroecountyonline.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,Unknown,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,monroecountyonline.com,1,ssh,,,,,,
68,AL,20243,"1 to 75,000",AL,13,pickenscountyal.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,pickenscountyal.com,12,ftp,ssh,dns,,,,
69,AL,213432,"150,000 to 249,999",AL,12,shelbyal.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, Network Solutions OV Server CA 2,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,shelbyal.com,0,,,,,,,
70,AL,87989,"75,001 to 149,999",AL,10,stclairco.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,stclairco.com,0,,,,,,,
71,AL,12797,"1 to 75,000",AL,10,sumtercountyal.com,TLS 1.2, not expired, not self-signed, US, .com, EV, US,VULNERABLE, RapidSSL RSA CA 2018,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,sumtercountyal.com,9,ftp,ssh,dns,,,,
72,AL,40541,"1 to 75,000",AL,7,tallaco.com,No TLS, not expired, not self-signed, Unknown, .com, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,tallaco.com,2,ftp,rdp,,,,,
73,AL,80387,"75,001 to 149,999",AL,11,talladegacountyal.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US,VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,talladegacountyal.org,2,telnet,,,,,,
74,AL,207305,"150,000 to 249,999",AL,13,tuscco.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,tuscco.com,8,ftp,ssh,,,,,
75,AL,25903,"1 to 75,000",AL,11,www.cherokeecounty-al.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,www.cherokeecounty-al.gov,13,ftp,ssh,dns,,,,
76,AR,14889,"1 to 75,000",AR,14,claycounty.arkansas.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, Sectigo RSA Organization Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,claycounty.arkansas.gov,0,,,,,,,
77,AR,8128,"1 to 75,000",AR,14,clevelandcounty.arkansas.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, Sectigo RSA Organization Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,clevelandcounty.arkansas.gov,0,,,,,,,
78,AR,23776,"1 to 75,000",AR,13,countyofcolumbia.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, Network Solutions OV Server CA 2,HTTP/1.1 302 Found,NOT VULNERABLE,Strict Transport Security Found,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,countyofcolumbia.org,0,,,,,,,
79,AR,62739,"1 to 75,000",AR,12,crawford-county.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,crawford-county.org,0,,,,,,,
